t,med_1424,med_1408,med_1422,med_1378
230,59.77619934,59.76729965,59.92380142,59.77939987
230.1,59.75839996,59.76929855,59.90729904,59.77890015
230.2,59.77659988,59.77140045,59.88819885,59.77569962
230.3,59.77880096,59.77470016,59.8689003,59.77149963
230.4,59.78509903,59.78120041,59.84880066,59.76929855
230.5,59.78820038,59.78210068,59.82839966,59.76789856
230.6,59.79270172,59.79050064,59.81060028,59.76940155
230.7,59.80500031,59.79930115,59.79470062,59.77270126
230.8,59.80709839,59.80690002,59.7818985,59.77819824
230.9,59.82569885,59.81380081,59.77109909,59.7867012
231,59.82049942,59.81389999,59.76190186,59.79930115
231.1,59.82519913,59.81800079,59.75559998,59.81240082
231.2,59.82920074,59.82320023,59.74890137,59.82789993
231.3,59.8362999,59.82789993,59.74380112,59.84270096
231.4,59.81600189,59.8307991,59.73709869,59.8567009
231.5,59.81309891,59.82580185,59.73020172,59.86700058
231.6,59.81560135,59.82189941,59.72480011,59.87200165
231.7,59.81200027,59.82310104,59.71549988,59.86790085
231.8,59.81679916,59.82329941,59.71609879,59.86220169
231.9,59.80279922,59.81809998,59.71780014,59.85070038
232,59.81029892,59.80979919,59.7242012,59.83670044
232.1,59.80860138,59.80170059,59.73329926,59.82080078
232.2,59.77780151,59.79779816,59.74489975,59.80239868
232.3,59.80149841,59.79570007,59.76210022,59.78649902
232.4,59.79079819,59.79199982,59.77949905,59.77130127
232.5,59.78409958,59.7818985,59.79880142,59.75859833
232.6,59.78590012,59.77470016,59.81819916,59.74649811
232.7,59.76399994,59.77230072,59.83940125,59.74039841
232.8,59.77310181,59.76919937,59.85620117,59.73630142
232.9,59.77750015,59.76760101,59.8669014,59.73749924
233,59.76620102,59.76089859,59.87390137,59.73910141
233.1,59.75849915,59.75540161,59.87490082,59.74399948
233.2,59.7621994,59.75310135,59.87210083,59.75090027
233.3,59.74890137,59.75170135,59.86500168,59.75370026
233.4,59.75180054,59.75579834,59.85290146,59.75930023
233.5,59.75740051,59.75559998,59.84009933,59.76160049
233.6,59.75899887,59.75460052,59.82540131,59.76340103
233.7,59.76070023,59.75859833,59.80929947,59.76369858
233.8,59.76169968,59.76449966,59.79529953,59.76459885
233.9,59.77109909,59.77410126,59.78070068,59.7641983
234,59.77970123,59.78269958,59.76860046,59.76869965
234.1,59.78310013,59.78279877,59.76039886,59.76919937
234.2,59.79449844,59.78950119,59.75270081,59.77270126
234.3,59.81219864,59.79489899,59.74629974,59.78129959
234.4,59.79320145,59.80279922,59.74309921,59.79000092
234.5,59.8117981,59.80659866,59.73989868,59.79880142
234.6,59.80220032,59.80519867,59.73989868,59.8103981
234.7,59.80989838,59.80690002,59.73970032,59.82109833
234.8,59.79990005,59.80709839,59.7397995,59.83039856
234.9,59.79370117,59.81060028,59.73929977,59.83390045
235,59.80490112,59.80720139,59.73960114,59.83800125
235.1,59.7983017,59.8030014,59.74000168,59.83319855
235.2,59.79660034,59.79579926,59.7419014,59.82759857
235.3,59.78540039,59.79150009,59.7466011,59.81669998
235.4,59.79140091,59.79019928,59.75320053,59.80630112
235.5,59.78850174,59.78839874,59.76300049,59.7942009
235.6,59.77890015,59.78319931,59.7737999,59.77949905
235.7,59.78590012,59.77780151,59.78570175,59.76710129
235.8,59.78300095,59.77470016,59.80039978,59.75640106
235.9,59.79130173,59.7765007,59.81399918,59.74760056
236,59.7663002,59.77550125,59.82690048,59.74340057
236.1,59.7804985,59.77360153,59.83980179,59.74150085
236.2,59.78369904,59.77059937,59.84949875,59.74359894
236.3,59.76539993,59.76449966,59.86019897,59.74769974
236.4,59.76520157,59.76819992,59.85079956,59.75600052
236.5,59.75680161,59.77080154,59.8465004,59.76380157
236.6,59.7784996,59.77069855,59.84130096,59.77030182
236.7,59.76649857,59.76979828,59.82939911,59.77809906
236.8,59.75870132,59.76900101,59.81710052,59.78300095
236.9,59.77539825,59.770401,59.80350113,59.78699875
237,59.7779007,59.77740097,59.78929901,59.78910065
237.1,59.78820038,59.77999878,59.77690125,59.78749847
237.2,59.78910065,59.7845993,59.76509857,59.78699875
237.3,59.78329849,59.78310013,59.75740051,59.78609848
237.4,59.79109955,59.79130173,59.75099945,59.78530121
237.5,59.79970169,59.79660034,59.74919891,59.78730011
237.6,59.79790115,59.80329895,59.74869919,59.78929901
237.7,59.80979919,59.80250168,59.74760056,59.79249954
237.8,59.81129837,59.80139923,59.75080109,59.79719925
237.9,59.80550003,59.80329895,59.75310135,59.80279922
238,59.79410172,59.80329895,59.75550079,59.8091011
238.1,59.78900146,59.80450058,59.7582016,59.81380081
238.2,59.79740143,59.80130005,59.76200104,59.81790161
238.3,59.78979874,59.79299927,59.76380157,59.81880188
238.4,59.78450012,59.79059982,59.76499939,59.81719971
238.5,59.78889847,59.7881012,59.76869965,59.81240082
238.6,59.78839874,59.7879982,59.77069855,59.80369949
238.7,59.77590179,59.78210068,59.77569962,59.79290009
238.8,59.79090118,59.77659988,59.78229904,59.7806015
238.9,59.77180099,59.77220154,59.78979874,59.76929855
239,59.78020096,59.77299881,59.79769897,59.75759888
239.1,59.78210068,59.77339935,59.80699921,59.75059891
239.2,59.77750015,59.77470016,59.81549835,59.74430084
239.3,59.76499939,59.77140045,59.82379913,59.74290085
239.4,59.78150177,59.76810074,59.82929993,59.74319839
239.5,59.76409912,59.77130127,59.83309937,59.74860001
239.6,59.77590179,59.770401,59.83440018,59.75749969
239.7,59.77809906,59.77479935,59.83060074,59.76309967
239.8,59.77140045,59.77190018,59.82450104,59.77190018
239.9,59.77640152,59.76929855,59.81639862,59.77679825
240,59.75999832,59.76890182,59.80609894,59.7818985
240.1,59.77590179,59.77280045,59.79449844,59.78760147
240.2,59.77479935,59.7757988,59.78300095,59.78760147
240.3,59.78440094,59.77600098,59.72439957,59.78820038
240.4,59.76879883,59.77870178,59.73429871,59.78620148
240.5,59.77679825,59.77610016,59.73020172,59.78639984
240.6,59.78160095,59.78390121,59.73249817,59.78329849
240.7,59.78910065,59.78739929,59.74079895,59.78070068
240.8,59.78590012,59.78839874,59.75370026,59.77840042
240.9,59.79349899,59.78850174,59.7677002,59.78129959
241,59.79330063,59.7845993,59.77809906,59.77939987
241.1,59.78789902,59.78889847,59.78089905,59.78390121
241.2,59.79290009,59.79059982,59.77890015,59.78480148
241.3,59.78499985,59.78789902,59.77259827,59.79150009
241.4,59.79330063,59.78580093,59.7492981,59.792099
241.5,59.78160095,59.77980042,59.73680115,59.79510117
241.6,59.77690125,59.78030014,59.73870087,59.79669952
241.7,59.77119827,59.78229904,59.75030136,59.79499817
241.8,59.78570175,59.78170013,59.76380157,59.79290009
241.9,59.76300049,59.77399826,59.77479935,59.78760147
242,59.77809906,59.77019882,59.77819824,59.77939987
242.1,59.77149963,59.76599884,59.7798996,59.77629852
242.2,59.77109909,59.76610184,59.78070068,59.76729965
242.3,59.76910019,59.76890182,59.78469849,59.76060104
242.4,59.76950073,59.76679993,59.79019928,59.75139999
242.5,59.76259995,59.76169968,59.7981987,59.74819946
242.6,59.76210022,59.76119995,59.80179977,59.74549866
242.7,59.76819992,59.7621994,59.80559921,59.74250031
242.8,59.7643013,59.76539993,59.80599976,59.74530029
242.9,59.77180099,59.76679993,59.80260086,59.74950027
243,59.76350021,59.76129913,59.79809952,59.75419998
243.1,59.76179886,59.76029968,59.79130173,59.75780106
243.2,59.75719833,59.76100159,59.7840004,59.76390076
243.3,59.76670074,59.76440048,59.77629852,59.77000046
243.4,59.75799942,59.76890182,59.76860046,59.7745018
243.5,59.7641983,59.76279831,59.76240158,59.77640152
243.6,59.76720047,59.76279831,59.75680161,59.77840042
243.7,59.75799942,59.76459885,59.75299835,59.77730179
243.8,59.76589966,59.76800156,59.75099945,59.77619934
243.9,59.77619934,59.77090073,59.74879837,59.77190018
244,59.7723999,59.77080154,59.74769974,59.77019882
244.1,59.77500153,59.77069855,59.74879837,59.76789856
244.2,59.77429962,59.76879883,59.74879837,59.76589966
244.3,59.77949905,59.77600098,59.74909973,59.76599884
244.4,59.77259827,59.77610016,59.75080109,59.76639938
244.5,59.77619934,59.77500153,59.75170135,59.76660156
244.6,59.76890182,59.77170181,59.7519989,59.77230072
244.7,59.76649857,59.77069855,59.75460052,59.77519989
244.8,59.76850128,59.77030182,59.75490189,59.77830124
244.9,59.77099991,59.77050018,59.75630188,59.77840042
245,59.75849915,59.76580048,59.75640106,59.77930069
245.1,59.77190018,59.76350021,59.75870132,59.77930069
245.2,59.76409912,59.76100159,59.76290131,59.77590179
245.3,59.76050186,59.76050186,59.76810074,59.77289963
245.4,59.75719833,59.76750183,59.77259827,59.76670074
245.5,59.75320053,59.76490021,59.78070068,59.76079941
245.6,59.76890182,59.76290131,59.78710175,59.75569916
245.7,59.76890182,59.76150131,59.79259872,59.75009918
245.8,59.77180099,59.76300049,59.79790115,59.74919891
245.9,59.76139832,59.77149963,59.80009842,59.74950027
246,59.75669861,59.76940155,59.79959869,59.7507019
246.1,59.77799988,59.77030182,59.79790115,59.7533989
246.2,59.76940155,59.7682991,59.79470062,59.76079941
246.3,59.76720047,59.76940155,59.79040146,59.76729965
246.4,59.76330185,59.77339935,59.78499985,59.77190018
246.5,59.78570175,59.77669907,59.77809906,59.77970123
246.6,59.77270126,59.77590179,59.77069855,59.78540039
246.7,59.77840042,59.77149963,59.76470184,59.78860092
246.8,59.76800156,59.77479935,59.7594986,59.79219818
246.9,59.78860092,59.77500153,59.7582016,59.78919983
247,59.76580048,59.78020096,59.75830078,59.7881012
247.1,59.78329849,59.77709961,59.75880051,59.78319931
247.2,59.77750015,59.7765007,59.76160049,59.77859879
247.3,59.78239822,59.77429962,59.76580048,59.77259827
247.4,59.78689957,59.77909851,59.76839828,59.76819992
247.5,59.77740097,59.77890015,59.76910019,59.76929855
247.6,59.78340149,59.78250122,59.77080154,59.76819992
247.7,59.78379822,59.77709961,59.77000046,59.76919937
247.8,59.77289963,59.77399826,59.77159882,59.77090073
247.9,59.77360153,59.77500153,59.77130127,59.77349854
248,59.77780151,59.77389908,59.77090073,59.77600098
248.1,59.76100159,59.77550125,59.77090073,59.77780151
248.2,59.75910187,59.7677002,59.77019882,59.77819824
248.3,59.76459885,59.76380157,59.77000046,59.77700043
248.4,59.76300049,59.76250076,59.76950073,59.77500153
248.5,59.75699997,59.76470184,59.770401,59.77209854
248.6,59.75759888,59.76440048,59.77190018,59.76789856
248.7,59.76779938,59.76210022,59.77590179,59.76369858
248.8,59.75619888,59.76269913,59.77949905,59.75719833
248.9,59.76549911,59.76010132,59.78250122,59.75469971
249,59.76290131,59.76409912,59.78540039,59.75019836
249.1,59.75500107,59.76589966,59.78519821,59.75109863
249.2,59.77640152,59.76750183,59.78369904,59.74969864
249.3,59.77059937,59.76549911,59.78210068,59.75279999
249.4,59.76250076,59.76409912,59.77730179,59.75719833
249.5,59.76119995,59.76610184,59.77420044,59.76179886
249.6,59.77959824,59.76900101,59.7682991,59.76739883
249.7,59.76250076,59.76860046,59.76290131,59.77339935
249.8,59.75970078,59.76499939,59.75659943,59.77719879
249.9,59.75849915,59.76490021,59.75139999,59.78099823
250,59.76710129,59.76269913,59.74720001,59.78079987
250.1,59.76179886,59.76750183,59.74440002,59.77959824
250.2,59.7560997,59.7655983,59.74530029,59.77610016
250.3,59.76750183,59.76660156,59.74620056,59.7723999
250.4,59.76179886,59.76499939,59.7492981,59.76710129
250.5,59.77109909,59.76589966,59.75230026,59.76240158
250.6,59.77220154,59.7677002,59.75569916,59.75799942
250.7,59.76160049,59.76449966,59.7594986,59.75510025
250.8,59.77719879,59.7663002,59.76269913,59.75360107
250.9,59.75469971,59.76259995,59.76480103,59.75569916
251,59.77030182,59.76480103,59.76679993,59.75479889
251.1,59.7602005,59.76399994,59.76699829,59.75730133
251.2,59.75889969,59.75669861,59.76819992,59.75960159
251.3,59.75109863,59.76060104,59.76750183,59.76290131
251.4,59.75759888,59.75490189,59.76580048,59.76409912
251.5,59.75559998,59.75590134,59.76399994,59.7643013
251.6,59.75279999,59.75379944,59.76160049,59.76530075
251.7,59.75389862,59.75180054,59.76079941,59.76200104
251.8,59.75149918,59.75450134,59.76110077,59.75939941
251.9,59.75049973,59.7519989,59.76380157,59.75429916
252,59.7602005,59.75230026,59.76649857,59.7492981
252.1,59.75379944,59.75299835,59.77009964,59.74580002
252.2,59.75600052,59.75479889,59.77099991,59.74259949
252.3,59.75709915,59.75770187,59.77190018,59.74309921
252.4,59.76350021,59.75939941,59.77069855,59.74420166
252.5,59.7541008,59.75880051,59.76819992,59.74760056
252.6,59.76760101,59.76300049,59.76440048,59.75299835
252.7,59.75740051,59.76229858,59.76160049,59.75799942
252.8,59.7582016,59.76160049,59.75740051,59.76409912
252.9,59.76480103,59.76259995,59.75370026,59.76869965
253,59.75500107,59.76210022,59.74919891,59.77180099
253.1,59.75579834,59.76119995,59.74520111,59.77529907
253.2,59.76190186,59.76139832,59.74399948,59.77429962
253.3,59.75749969,59.75880051,59.74300003,59.77460098
253.4,59.75469971,59.75709915,59.74229813,59.77030182
253.5,59.7582016,59.76029968,59.74409866,59.76689911
253.6,59.7602005,59.75899887,59.74649811,59.76119995
253.7,59.76789856,59.75960159,59.75180054,59.75550079
253.8,59.75510025,59.7580986,59.75680161,59.75279999
253.9,59.77349854,59.75849915,59.75830078,59.74819946
254,59.7602005,59.75920105,59.76179886,59.74879837
254.1,59.76200104,59.75930023,59.76470184,59.74710083
254.2,59.75170135,59.75680161,59.7655983,59.74959946
254.3,59.75979996,59.75889969,59.76689911,59.75320053
254.4,59.75569916,59.7582016,59.76720047,59.75569916
254.5,59.74860001,59.75709915,59.76599884,59.75939941
254.6,59.76010132,59.75630188,59.76390076,59.76290131
254.7,59.75159836,59.75719833,59.76129913,59.76509857
254.8,59.76039886,59.75619888,59.7594986,59.76620102
254.9,59.74620056,59.75600052,59.75830078,59.7663002
255,59.76269913,59.75270081,59.75730133,59.76259995
255.1,59.75719833,59.75579834,59.75870132,59.75960159
255.2,59.7541008,59.7560997,59.76100159,59.75579834
255.3,59.75109863,59.75730133,59.76390076,59.75180054
255.4,59.76079941,59.75550079,59.76670074,59.74860001
255.5,59.76319885,59.75830078,59.76810074,59.74940109
255.6,59.76039886,59.75989914,59.76900101,59.7478981
255.7,59.76459885,59.75849915,59.76739883,59.74840164
255.8,59.76549911,59.76309967,59.76539993,59.75030136
255.9,59.75799942,59.75970078,59.76279831,59.75329971
256,59.7655983,59.7641983,59.76160049,59.7580986
256.1,59.7541008,59.76169968,59.75920105,59.76070023
256.2,59.7594986,59.76050186,59.75510025,59.76850128
256.3,59.75579834,59.76010132,59.75270081,59.77209854
256.4,59.75770187,59.75619888,59.75099945,59.77550125
256.5,59.75709915,59.75910187,59.74829865,59.7757988
256.6,59.75500107,59.7602005,59.7480011,59.77370071
256.7,59.76039886,59.7602005,59.74760056,59.77090073
256.8,59.75939941,59.76309967,59.75019836,59.76750183
256.9,59.75540161,59.75600052,59.75279999,59.76200104
257,59.76079941,59.76259995,59.75690079,59.75630188
257.1,59.77629852,59.76150131,59.76029968,59.75379944
257.2,59.75830078,59.76229858,59.7641983,59.7507019
257.3,59.75490189,59.75830078,59.76490021,59.75019836
257.4,59.77199936,59.76530075,59.76679993,59.75120163
257.5,59.75630188,59.76330185,59.76890182,59.75120163
257.6,59.75920105,59.75749969,59.76800156,59.75469971
257.7,59.75790024,59.76110077,59.76869965,59.75839996
257.8,59.75899887,59.75780106,59.76699829,59.76100159
257.9,59.75889969,59.75889969,59.76390076,59.76520157
258,59.75139999,59.75529861,59.76119995,59.76639938
258.1,59.75130081,59.75429916,59.75780106,59.76589966
258.2,59.7541008,59.75719833,59.75730133,59.7655983
258.3,59.75650024,59.75550079,59.75569916,59.76290131
258.4,59.75299835,59.75299835,59.75650024,59.75920105
258.5,59.75719833,59.7580986,59.75799942,59.75619888
258.6,59.7594986,59.75540161,59.76179886,59.75270081
258.7,59.7643013,59.75790024,59.76390076,59.74879837
258.8,59.76300049,59.75569916,59.76509857,59.74670029
258.9,59.76070023,59.75899887,59.76599884,59.74649811
259,59.75749969,59.75770187,59.7655983,59.74539948
259.1,59.76269913,59.76079941,59.76340103,59.74860001
259.2,59.75970078,59.7582016,59.76169968,59.75419998
259.3,59.75999832,59.7580986,59.75960159,59.75619888
259.4,59.75719833,59.76089859,59.75690079,59.76129913
259.5,59.75690079,59.75170135,59.75400162,59.76409912
259.6,59.74520111,59.75659943,59.75189972,59.76689911
259.7,59.75299835,59.75170135,59.74900055,59.76649857
259.8,59.74639893,59.75180054,59.7458992,59.76589966
259.9,59.75159836,59.75040054,59.74480057,59.76229858
260,59.74769974,59.75059891,59.74359894,59.75889969
